id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
25903655,Sun Drenched Artist Loft in Williamsburg!,67191518,Brooklyn,Williamsburg,40.71777,-73.96173,Entire home/apt,250,4,8,0.7,156
25973941,HUGE 4 Bedroom PERFECT Wilburg Apt. on Bedford Ave,20176273,Brooklyn,Williamsburg,40.71068,-73.96304,Entire home/apt,347,4,22,2.19,70
26000559,Pvt Art-filled Room w/ Pvt Access to Huge Roof Gym,2739367,Brooklyn,Williamsburg,40.70826,-73.94421,Private room,62,29,70,5.38,64
26002676,Lovely one bedroom apartment in Wiliamsburg,15570509,Brooklyn,Williamsburg,40.70779,-73.95467,Entire home/apt,350,2,8,1.06,129
26003667,Pvt Room in Artsy Home w/pvt roof gym!,2739367,Brooklyn,Williamsburg,40.70931,-73.94253,Private room,62,1,71,5.52,73
26035350,Private Bedroom in Open Williamsburg Loft,195667782,Brooklyn,Williamsburg,40.70898,-73.94813,Private room,76,1,59,4.57,44
26053340,"Beloved Williamsburg, Brooklyn is calling to you!",18824752,Brooklyn,Williamsburg,40.70858,-73.95378,Private room,70,3,42,3.41,20
26059525,SPACIOUS SUNLIT 2 BED/2 BATH APT IN WILLIAMSBURG,662432,Brooklyn,Williamsburg,40.71657,-73.9595,Entire home/apt,350,5,1,0.09,117
26072801,Jades Place,4520673,Brooklyn,Williamsburg,40.71424,-73.96182,Private room,75,20,4,0.52,95
26085247,Bright Minimal Studio in Heart of Williamsburg,196059058,Brooklyn,Williamsburg,40.70984,-73.95979,Entire home/apt,100,7,3,0.3,44
26099303,Heart of South Williamsburg,27966935,Brooklyn,Williamsburg,40.71033,-73.9647,Private room,100,28,20,1.62,309
26162960,Bridge view,4410830,Brooklyn,Williamsburg,40.71162,-73.96431,Entire home/apt,225,4,4,0.38,50
26196029,PRIME Williamsburg Big Quiet room Private Balcony,2773082,Brooklyn,Williamsburg,40.71595,-73.96001,Private room,95,3,7,1.11,6
26272163,Gorgeous Bedroom steps from local stores!,197354631,Brooklyn,Williamsburg,40.71471,-73.94173,Private room,67,30,3,0.28,19
26334347,"1BR in Newly Renovated Apartment - Rm A, Bushwick!",36012265,Brooklyn,Williamsburg,40.70456,-73.9314,Private room,51,1,12,1.14,352
26362867,Large Bedroom w/ PRIVATE BATHROOM,18197365,Brooklyn,Williamsburg,40.71111,-73.94736,Private room,70,3,11,0.88,9
26366437,LIVING ROOM COUCH amazing Williamsburg location,91498269,Brooklyn,Williamsburg,40.7155,-73.95724,Shared room,100,1,31,2.81,82
26409175,"1BR in Newly Renovated Apartment - Rm B, Bushwick!",36012265,Brooklyn,Williamsburg,40.70522,-73.93075,Private room,51,1,10,0.84,310
26410307,"1BR in Newly Renovated Apartment - Rm C, Bushwick!",36012265,Brooklyn,Williamsburg,40.7052,-73.93017,Private room,49,1,6,0.53,343
26475612,Perfect location for NYC getaway,73570025,Brooklyn,Williamsburg,40.71648,-73.94452,Entire home/apt,110,1,52,4.36,44
26527613,Former Mattress Factory Loft,85712984,Brooklyn,Williamsburg,40.70277,-73.93568,Entire home/apt,90,1,1,0.08,76
26559223,"Charming Williamsburg Apartment,  next to trainJZM",18210699,Brooklyn,Williamsburg,40.71106,-73.95945,Private room,70,4,1,0.09,220
26569882,Queen Bedroom with Private roof top,7943066,Brooklyn,Williamsburg,40.71787,-73.94171,Private room,110,2,4,1.5,66
26599049,Cozy bedroom on the cusp of Williamsburg/Bushwick,3188892,Brooklyn,Williamsburg,40.71018,-73.94057,Private room,55,3,2,0.17,36
