,id,neighbourhood,price,stay_type
366,Executive Class at MTS Hotel,Midtown,355.0,0
367,Cozy Studio,,182.6747,0
368,Beautiful 1 Bedroom Apartment,Upper West Side,150.81,0
369,New York Guest Suites,Flatiron District,107.5,0
370,Four Seasons New York Downtown,Tribeca,1039.655,0
371,Four Points By Sheraton New York Downtown,Financial District,259.97,0
372,The Park Ave North,East Harlem,222.3897,0
373,Arlo NoMad,Flatiron District,374.025,0
374,The Bernic Hotel,,339.0,0
375,Raintree at The Manhattan Club,Midtown,0.0,0
376,11 Howard,Chinatown,419.06219999999996,0
377,Green Acre,,200.97,0
378,"The Beekman, A Thompson Hotel",Financial District,419.0237,0
379,Amazing Studio in the Heart of Manhattan,Upper East Side,154.0253,0
380,Renovated 2 BR Central Park,,229.91,0
381,Beekman Tower by Bridgestreet,,230.14999999999998,0
382,Hello Apartments NYC,,260.5412,0
383,DoubleTree by Hilton New York Times Square West,Clinton,234.47000000000003,0
384,Hotel 50 Bowery NYC,Chinatown,339.5544,0
385,AKA Central Park,Midtown,534.88,0
386,Hotel Richland New York,Lower East Side,219.0,0
387,Oakwood at The Nash,,420.3695,0
388,AKA Wall Street,Financial District,632.44,0
389,Beautiful Studio near Central Park,Upper West Side,180.65,0
390,Four Points By Sheraton Manhattan Midtown West,Clinton,191.03154999999998,0
391,Gansevoort Meatpacking,West Village,415.45000000000005,0
392,Crowne Plaza Midtown Manhattan,Clinton,256.13,0
393,Carnegie Hotel,Midtown,369.5,0
394,Broadway Hotel and Hostel,Upper West Side,131.84,0
395,The Watson Hotel,,239.32,0
396,Astor on the Park,,179.33,0
397,Hotel Hayden,Flatiron District,249.98,0
398,Embassy Suites by Hilton New York Midtown Manhattan,,585.42,0
399,Saint Nicholas Inn,,131.8308,0
400,Hilton Garden Inn New York Times Square South,Clinton,0.0,0
401,Opera House Hotel,Mott Haven,189.47,0
402,Rodeway Inn Bronx Zoo,Norwood,170.84,0
403,Ramada Bronx,Co-op City,190.68630000000002,0
404,Days Inn Bronx Near Stadium,South Bronx,155.3497,0
405,Howard Johnson Express Inn Bronx,West Farms,134.45,0
406,Bronx Guesthouse,Wakefield,177.0125,0
407,Sheridan Hotel,Soundview,183.89,0
408,Super 8 Bronx,South Bronx,93.59,0
409,Residence Inn New York The Bronx At Metro Center Atrium,Westchester Heights,249.62,0
410,"Umbrella Hotel, An Ascend Hotel Collection Member",Melrose,224.38,0
411,2539,Kensington,149.0,1
412,2595,Midtown,225.0,1
413,3831,Clinton Hill,89.0,1
414,5099,Murray Hill,200.0,1
415,5178,Clinton,79.0,1
416,5238,Chinatown,150.0,1
417,5295,Upper West Side,135.0,1
418,5441,Clinton,85.0,1
419,5803,Greenwood,89.0,1
420,6021,Upper West Side,85.0,1
421,6848,Williamsburg,140.0,1
422,7097,Fort Greene,215.0,1
423,7322,Chelsea,140.0,1
424,7726,Crown Heights,99.0,1
425,8024,Park Slope,130.0,1
426,8025,Park Slope,80.0,1
427,8110,Park Slope,110.0,1
428,8490,Bedford Stuyvesant,120.0,1
429,8505,Windsor Terrace,60.0,1
430,9357,Clinton,150.0,1
431,9518,Inwood,44.0,1
432,9657,East Village,180.0,1
433,9668,Harlem,50.0,1
434,9704,Harlem,52.0,1
435,9782,Greenpoint,55.0,1
436,9783,Harlem,50.0,1
437,10452,Bedford Stuyvesant,70.0,1
438,10962,Greenwood,89.0,1
439,11708,Bushwick,85.0,1
440,12048,Lower East Side,40.0,1
441,12192,East Village,68.0,1
442,12299,Greenwood,120.0,1
443,12303,Fort Greene,120.0,1
444,12318,Upper West Side,135.0,1
445,12343,Harlem,150.0,1
446,12627,Prospect Lefferts Gardens,150.0,1
447,12937,Hunters Point,130.0,1
448,12940,Bedford Stuyvesant,110.0,1
