id,neighbourhood,price,stay_type,avgprice
4576206,Prospect Heights,250.0,1,138.7037037037037
4582684,Fort Greene,150.0,1,146.19026548672565
4582781,Williamsburg,220.0,1,137.40992321323094
4585734,East Harlem,260.0,1,121.45999165354331
4586880,Bedford Stuyvesant,50.0,1,105.70102090422947
4588273,Upper West Side,225.0,1,164.86134589041097
4589819,Fort Greene,110.0,1,146.19026548672565
4593609,Clinton,150.0,1,165.18030573843416
4593770,Jackson Heights,100.0,1,84.96694214876032
4593939,Bedford Stuyvesant,69.0,1,105.70102090422947
4594389,Upper East Side,110.0,1,165.82365635198136
4596378,East Elmhurst,44.0,1,80.59712230215827
4598265,Harlem,155.0,1,112.78284126547456
4600556,Upper East Side,300.0,1,165.82365635198136
4604991,Bedford Stuyvesant,75.0,1,105.70102090422947
4605840,Bedford Stuyvesant,100.0,1,105.70102090422947
4606017,Upper West Side,129.0,1,164.86134589041097
4607923,Sunset Park,55.0,1,106.48186528497409
4614091,Sunset Park,172.0,1,106.48186528497409
4614435,Harlem,100.0,1,112.78284126547456
4614838,Clinton,272.0,1,165.18030573843416
4615631,Harlem,85.0,1,112.78284126547456
4616700,Fort Greene,180.0,1,146.19026548672565
4621213,Upper West Side,260.0,1,164.86134589041097
4621217,Gramercy,140.0,1,168.1011574074074
4621713,Gramercy,185.0,1,168.1011574074074
4621923,Prospect Heights,126.0,1,138.7037037037037
4623635,Fort Greene,225.0,1,146.19026548672565
4623771,East Harlem,147.0,1,121.45999165354331
4624521,Financial District,90.0,1,208.96072712328765
4624874,Flatbush,72.0,1,92.42756183745583
4629211,Bushwick,122.0,1,90.89435989256938
4629599,Greenwood,95.0,1,135.74666666666667
4629870,Boerum Hill,130.0,1,163.14814814814815
4632542,Harlem,107.0,1,112.78284126547456
4632795,Upper West Side,100.0,1,164.86134589041097
4632852,Concourse,85.0,1,76.29629629629629
4637014,Flushing,119.0,1,80.80463576158941
4637053,Astoria,150.0,1,99.68881685575364
4637146,Bedford Stuyvesant,115.0,1,105.70102090422947
4637858,Bedford Stuyvesant,99.0,1,105.70102090422947
4638967,Harlem,84.0,1,112.78284126547456
4639015,Clinton,129.0,1,165.18030573843416
4640515,Harlem,65.0,1,112.78284126547456
4641291,Bellerose,99.0,1,78.42857142857143
4642913,Windsor Terrace,120.0,1,126.875
4643199,Upper East Side,142.0,1,165.82365635198136
4644632,Bedford Stuyvesant,130.0,1,105.70102090422947
4644669,Upper East Side,325.0,1,165.82365635198136
4645170,Clinton,89.0,1,165.18030573843416
4645319,East New York,69.0,1,94.9917695473251
4649468,Upper East Side,160.0,1,165.82365635198136
4650123,Lower East Side,109.0,1,158.55794867075664
4651354,Chinatown,189.0,1,153.70858168316832
4651486,Prospect Lefferts Gardens,125.0,1,98.17100371747212
4656361,Washington Heights,80.0,1,91.67719002293578
4659046,East Village,230.0,1,159.5356283068783
4661135,Fort Greene,70.0,1,146.19026548672565
4661662,Harlem,70.0,1,112.78284126547456
4662584,East Harlem,45.0,1,121.45999165354331
4666584,Harlem,275.0,1,112.78284126547456
4667046,Astoria,195.0,1,99.68881685575364
4667146,East Harlem,50.0,1,121.45999165354331
4667148,West Village,125.0,1,200.29409194078949
4668252,Upper East Side,99.0,1,165.82365635198136
4671824,High Bridge,60.0,1,75.19047619047619
4672445,West Village,199.0,1,200.29409194078949
4678568,Crown Heights,65.0,1,116.16734693877551
4681193,Jackson Heights,105.0,1,84.96694214876032
4681219,Harlem,70.0,1,112.78284126547456
4686821,Upper East Side,112.0,1,165.82365635198136
4687896,Fort Greene,80.0,1,146.19026548672565
4688418,Upper East Side,99.0,1,165.82365635198136
4691130,Park Slope,70.0,1,156.9579831932773
4694480,Cobble Hill,250.0,1,168.36170212765958
4694622,Bushwick,75.0,1,90.89435989256938
4694625,Lower East Side,250.0,1,158.55794867075664
4697809,Flatiron District,95.0,1,294.6176373134328
4700894,East Harlem,200.0,1,121.45999165354331
4701425,East Village,120.0,1,159.5356283068783
4705670,Astoria,70.0,1,99.68881685575364
4708314,Williamsburg,120.0,1,137.40992321323094
4708609,Greenpoint,55.0,1,136.96753246753246
4710102,East Harlem,175.0,1,121.45999165354331
4711070,Sunnyside,105.0,1,91.43315508021391
4714854,Upper East Side,99.0,1,165.82365635198136
4715740,Harlem,120.0,1,112.78284126547456
4716613,Bushwick,90.0,1,90.89435989256938
4717296,Hunters Point,150.0,1,117.14079422382672
4717440,Chinatown,170.0,1,153.70858168316832
4720086,Harlem,125.0,1,112.78284126547456
4720460,Upper West Side,150.0,1,164.86134589041097
4725251,Upper West Side,93.0,1,164.86134589041097
4727369,Williamsburg,65.0,1,137.40992321323094
4727731,Williamsburg,250.0,1,137.40992321323094
4733949,Bushwick,69.0,1,90.89435989256938
4734709,Prospect Heights,200.0,1,138.7037037037037
4737392,Astoria,60.0,1,99.68881685575364
4738429,Clason Point,110.0,1,86.70588235294117
4739703,Prospect Heights,175.0,1,138.7037037037037
4742068,Bensonhurst,93.0,1,89.925
4742842,Harlem,100.0,1,112.78284126547456
